# Code-Switched Transcript
# Format: [start → end | LANG (hi%)] text  {CS} if code-switched

[0.00s → 2.46s | HINDI (hi=59%)] आजो कुछ भी हैं। उसके भी रून्स बने हुए हैं।  {CS:23 switches}
[2.46s → 4.48s | HINDI (hi=60%)] कुलम्स्लो हैं, कौस्लो हैं।  {CS:20 switches}
[4.48s → 7.00s | HINDI (hi=65%)] तो उससे हम वो सारी थीज़े समझ लेते हैं।  {CS:21 switches}
[7.74s → 11.72s | HINDI (hi=65%)] अप्टिक्स हैं, लाइट हैं, इसके लिए भी रिफ्राक्षण के लिए हूए हूए हैं।  {CS:29 switches}
[11.72s → 13.52s | HINDI (hi=55%)] सब कुछ हम लोग करते हैं।  {CS:17 switches}
[16.68s → 19.80s | ENGLISH (hi=46%)] तो उसको अगर हम लोग देखें,  {CS:26 switches}
[19.80s → 24.98s | HINDI (hi=54%)] तो जो क्लासिकल फिसिक्स जिसे कहते हैं हम,  {CS:58 switches}
[27.58s → 33.66s | HINDI (hi=62%)] वो दो जगे पर जो हमारी तोड़े अनुखों से पाहर की जिज़े हैं,  {CS:49 switches}
[33.76s → 36.02s | HINDI (hi=67%)] उसमें इसमें तोड़े चेंजेस करने परता हैं,  {CS:23 switches}
[36.04s → 37.72s | HINDI (hi=55%)] इसे काम नहीं चलता हैं।  {CS:8 switches}
[37.72s → 40.88s | HINDI (hi=56%)] तो एक तो है, जिसमें कि हम  {CS:44 switches}
[40.88s → 43.88s | HINDI (hi=58%)] हाई स्पीट जब इनकि लिल्मॉल हो जाते हैं।  {CS:23 switches}
[46.22s → 49.66s | HINDI (hi=65%)] जब हम ऐसी चीजों की चर्चा करते हैं,  {CS:29 switches}
[49.72s → 53.20s | HINDI (hi=63%)] जिनकि स्पीड बहुत जादा है,  {CS:27 switches}
[53.38s → 55.62s | HINDI (hi=54%)] और बहुत जादा यहने कितनी जादा,  {CS:22 switches}
[55.66s → 60.36s | HINDI (hi=56%)] तो जो प्रकाश की लाइट की जो स्पीड है वाक्यूम में,  {CS:40 switches}
[60.36s → 62.88s | HINDI (hi=57%)] उसकी अपकी, उसके खम्परेबल है,  {CS:25 switches}
[62.96s → 64.30s | HINDI (hi=60%)] उहां से तुल्ना करना है,  {CS:13 switches}
